"Include","Confidence","Name","Brand","Model","Category","Description","ImagePath","ImageUrl","SourcePage","ListingType","CallForPrice","Quantity","Status","Published","Featured","DisplayOrder","ExcludeReason"
"YES","93","Lift, Telescopic Type, 30' Working Height, 300 lbs Capacity","Bil-Jax","","Aerial Lifts","XLT-C.A.T.23-DC | | -------------------------------------------------------------------------------- | Wt. 882 | Spanner Kit Option Available","images/bil-jax/xltcat23.gif","https://billsequipment.mydomain.com/images/bil-jax/xltcat23.gif","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","10",""
"YES","100","XLB-4232-HONDA GAS | Lift, Towable Boom Type, 42' Working Height, 300 lb Capacity","Bil-Jax","XLB-4232-HONDA","Aerial Lifts","Wt. 4675 | DC OPTIONAL IN STOCK","images/bil-jax/xlb4232.gif","https://billsequipment.mydomain.com/images/bil-jax/xlb4232.gif","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","20",""
"YES","93","XlB-4725A-HONDA | Lift, Towable Boom Type, 47' Working Height, 400 lb Capacity","Bil-Jax","","Aerial Lifts","Wt. 4675 | DC OPTIONAL IN STOCK","images/bil-jax/xlb4725.gif","https://billsequipment.mydomain.com/images/bil-jax/xlb4725.gif","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","30",""
"YES","93","Genie Material Lift","Genie","","Aerial Lifts","Portable material lift for construction and industrial applications. | The Superlift Contractor is an ideal tool for construction firms and every kind of contractor. | Standard Features: | Heavy duty design, yet lightweight and portable. | Quick setup requires no tools. | Loads easily into a pickup truck for transporting. | Rear transport wheel assembly. | 4 in (10 cm) front casters and 5 in (13 cm) rear casters with side brakes are standard. | Hold-down bar holds mast assembly in place during transport. SLC™","images/genie/slc-24.jpg","https://billsequipment.mydomain.com/images/genie/slc-24.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","40",""
"YES","100","GS-1930","Genie","GS-1930","Aerial Lifts","Standard Features | *GS-1530 has 21 ft (6.5 m) working height and has 25 ft (7.8 m) working height | *39 in (1 m) roll-out platform extension | *Compact 30 in (76 cm) width | *600 lb (272 kg) lift capacity for the GS-1530 and 500 lb (227 kg) lift capacity for the | *Compact design | *Automatic 25 amp battery charger | *Proportional controls for lift and drive functions | *Multiple disc brakes provide smooth deceleration | *Drive speed interlock limits speed while elevated | *Emergency stop at both platform and ground controls | *Manual platform lowering valve | *Manual brake release | *Pothole guards | *Non-marking tires | *AC wiring to platform | *Tilt level sensor with an audible alarm | *Beeper horn | *Hour meter","images/genie/gs1930.jpg","https://billsequipment.mydomain.com/images/genie/gs1930.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","50",""
"YES","100","GS-2032","Genie","GS-2032","Aerial Lifts","Standard Features | *26 ft (8.1 m) working height | *Compact 32 in (81 cm) width | *800 lb (363 kg) lift capacity | *39 in (1 m) rollout platform extension | *Proportional controls for lift and drive functions | *AC outlet to platform | *Multiple disc brakes provide smooth deceleration","images/genie/gs2032.jpg","https://billsequipment.mydomain.com/images/genie/gs2032.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","60",""
"YES","100","GS-2632","Genie","GS-2632","Aerial Lifts","Standard Features | * has 32 ft (9.92 m) working height | *39 in (1 m) roll-out platform extension | *Compact 32 in (81.3 cm) width | *500 lb (227 kg) lift capacity | *Proportional controls for lift and drive functions | *Automatic 25 amp battery charger | *Manual platform lowering valve | *Emergency stop switches at both platform and ground controls | *Drive speed interlock limits speed while elevated | *Multiple disc brakes provide smooth deceleration | *Manual brake release | *Pothole guards | *Non-marking tires | *AC wiring to platform | *Tilt sensor with an audible alarm | *Beeper horn | *Hour meter","images/genie/gs2632.jpg","https://billsequipment.mydomain.com/images/genie/gs2632.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","70",""
"YES","100","GS-4390","Genie","GS-4390","Aerial Lifts","Standard Features | * has 49 ft (14.9 m) working height and GS- 5390 RT has *59 ft (18 m) working height | *1,500 lb (680 kg) load capacity | *Positive traction-controlled four-wheel drive | *50% gradeability | *Proportional drive | *Two-speed lift functions | *Troubleshooting diagnostics | *Two self-closing entry gates | *Foam-filled tires | *AC wiring to platform | *Descent alarm | *Tilt sensor with an audible alarm | *Horn | *Hour meter","images/genie/gs4390.jpg","https://billsequipment.mydomain.com/images/genie/gs4390.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","80",""
"YES","100","S-100","Genie","S-100","Aerial Lifts","Standard Features | * has 106 ft (32.5 m) working height | *Industry-leading outreach of 75 ft (22.9 m) | *750 lb (340 kg) lift capacity | *Four-wheel drive with four-wheel brakes | *Extendable axles, operated from platform | *Three diesel engine options | *8 ft (2.44 m) steel platform | *Fully proportional platform controls with ramp up/down feature | *Hydraulic platform rotation | *360° continuous turntable rotation | *12V DC auxiliary power | *Closed-loop hydrostatic drive | *Positive traction drive | *Drive enable system | *Self-leveling platform | *Onboard full diagnostics | *Anti-restart engine protection | *Auto engine fault shutdown | *Hydraulic oil cooler | *Engine monitoring display | *AC wiring to platform | *Foam-filled tires","images/genie/s100.jpg","https://billsequipment.mydomain.com/images/genie/s100.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","90",""
"YES","100","S-120","Genie","S-120","Aerial Lifts","Standard Features | * has 126 ft (38.6 m) working height | *Industry-leading outreach of 75 ft (22.9 m) | *750 lb (340 kg) lift capacity | *Four-wheel drive with four-wheel brakes | *Four-wheel steer includes front, rear, crab and coordinated steer functions | *Extendable axles, operated from platform | *Three diesel engine options | *8 ft (2.44 m) steel platform | *Fully proportional platform controls with ramp up/down feature | *Hydraulic platform rotation | *360° continuous turntable rotation | *12V DC auxiliary power | *Closed-loop hydrostatic drive | *Positive traction drive | *Drive enable system | *Self-leveling platform | *Onboard full diagnostics | *Anti-restart engine protection | *Auto engine fault shutdown | *Hydraulic oil cooler | * Engine monitoring display | *AC wiring to platform | *Foam-filled tires | *Wire braided hose | *Tilt alarm | *Horn | *Hour meter","images/genie/s120.jpg","https://billsequipment.mydomain.com/images/genie/s120.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","100",""
"YES","100","S-80","Genie","S-80","Aerial Lifts","S tandard Features | * has 86 ft (26.4 m) working height | *S-85 has 91 ft (27.9 m) working height | * has 72 ft (21.9 m) horizontal reach | *S-85 has 77 ft (23.4 m) horizontal reach | *Up to 600 lb (272 kg) lift capacity on the | *500 lb (227 kg) lift capacity on the S-85 | *Extendable axles operated from the platform | *Dual extended cylinders | *Dual fuel (Gas/LPG) or diesel engine options | *Fully proportional platform controls with ramp up/down feature | *Hydraulic platform rotation | *360° continuous turntable rotation | *12V DC auxiliary power | *Fuel select switch on platform and ground control panels (Gas/LPG models) | *Closed-loop hydrostatic drive | *Positive traction drive | *Drive enable system | *Self-leveling platform | *Rough terrain air tires | *Locking turntable covers | *Anti-restart engine protection | *Auto engine fault shutdown | *AC wiring to platform | *Wire braided hose | *Tilt alarm | *Horn | *Hour meter","images/genie/s80.jpg","https://billsequipment.mydomain.com/images/genie/s80.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","110",""
"YES","100","TZ-34/20","Genie","TZ-34/20","Aerial Lifts","Standard Features | *12.36 m (40 ft) working height | *6.1 m (20 ft) horizontal reach | *200 kg (440 lb) lift capacity | *Outrigger interlocks | *Hydraulic outriggers | *Automatic levelling system | *Proportional speed control system | *Dual pneumatic jockey wheels | *Tilt alarm/sensor | *AC wiring to platform | *Mechanical surge brakes | *Parking brake | *Hour meter","images/genie/tz34.jpg","https://billsequipment.mydomain.com/images/genie/tz34.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","120",""
"YES","100","Z-45/25 DC/Bi-Energy","Genie","Z-45/25","Aerial Lifts","Standard Features | *Over 51 ft (15.8 m) working height | *Over 24 ft (7.3 m) horizontal reach | *Up and over clearance of over 22 ft (6.7 m) | *5 ft (1.5 m) turning radius | *500 lb (227 kg) lift capacity | *Fully proportional controls | *180° hydraulic platform rotation on Z-45/25 models | *160° hydraulic platform rotation on Z-45/25J models | *24V DC auxiliary power unit | *Drive enable system | *End mount platform on Z-45/25J models | *AC wiring to platform | *Tilt alarm | *Horn | *Hour meter","images/genie/z45.jpg","https://billsequipment.mydomain.com/images/genie/z45.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","130",""
"YES","100","Z-60/34","Genie","Z-60/34","Aerial Lifts","Standard Features | *66 ft (20.1 m) working height | *34 ft (10.4 m) horizontal reach | *500 lb (227 kg) lift capacity | *Dual fuel (Gas/LPG) or diesel engine options | *Fully proportional platform controls with ramp up/down feature | *Hydraulic platform rotation | *360° continuous turntable rotation | *12V DC auxiliary power unit | *Fuel select switch on platform and ground controls (Gas/LPG models) | *Closed-loop hydrostatic drive | *Positive traction drive | *Drive enable system | *High-angle steer | *Self-leveling platform | *Locking turntable covers | *Anti-restart engine protection | *Auto engine fault shutdown | *Engine monitoring gauges | *AC wiring to platform | *Tilt alarm | *Horn | *Hour meter","images/genie/z60.jpg","https://billsequipment.mydomain.com/images/genie/z60.jpg","https://billsequipment.mydomain.com/aeriallifts.htm | https://billsequipment.mydomain.com/genie.htm","product","YES","1","active","YES","NO","140",""
